Date,ProductID,DepartmentID,NetRevenue,GrossProfit,EBITDA,OperatingIncome,Actual,Budget,CurrentAssets,CurrentLiabilities,COGS,AvgInventory,NOPAT,InvestedCapital
2024-01-01,1,70,1139700.0,623700.0,440900.0,343800.0,1139700.0,1197400.0,809300.0,291400.0,516000.0,309500.0,276300.0,3935900.0
2024-01-01,2,40,1276500.0,684800.0,477300.0,411600.0,1276500.0,1216600.0,766500.0,328100.0,591700.0,348500.0,328700.0,3099200.0
2024-01-01,3,80,356400.0,192400.0,107700.0,89700.0,356400.0,334500.0,236200.0,85000.0,164000.0,85500.0,72800.0,996700.0
2024-01-01,4,10,2635400.0,1395300.0,908600.0,746400.0,2635400.0,2537700.0,1644400.0,868300.0,1240100.0,603800.0,581800.0,7719300.0
2024-01-01,5,70,438300.0,241300.0,160200.0,121200.0,438300.0,423900.0,274500.0,131500.0,197000.0,102200.0,98500.0,1491800.0
2024-01-01,6,10,202400.0,111800.0,63400.0,50500.0,202400.0,202600.0,126800.0,53200.0,90600.0,41700.0,37600.0,491300.0
2024-01-01,7,80,1116800.0,621200.0,445900.0,364600.0,1116800.0,1039800.0,852600.0,349500.0,495600.0,272300.0,296700.0,2458600.0
2024-01-01,8,20,831800.0,505100.0,302000.0,222800.0,831800.0,813500.0,613500.0,319400.0,326700.0,171800.0,166000.0,2796700.0
2024-01-01,9,10,257400.0,135300.0,75400.0,57300.0,257400.0,244100.0,204900.0,78300.0,122100.0,63000.0,45300.0,731400.0
2024-01-01,10,20,828000.0,474400.0,272900.0,192800.0,828000.0,812800.0,588300.0,256500.0,353600.0,161300.0,145800.0,2814900.0
2024-01-01,11,10,684300.0,368700.0,209200.0,175800.0,684300.0,721100.0,466200.0,221000.0,315600.0,149300.0,142900.0,2256100.0
2024-01-01,12,30,925500.0,419800.0,254600.0,220900.0,925500.0,964700.0,715200.0,366300.0,505700.0,247800.0,176400.0,2001100.0
2024-01-01,13,10,2902600.0,1375000.0,863800.0,652100.0,2902600.0,3022600.0,1873700.0,664700.0,1527600.0,731700.0,490900.0,9568500.0
2024-01-01,14,50,2300000.0,1315200.0,942700.0,750900.0,2300000.0,2441400.0,1433100.0,779700.0,984800.0,469500.0,612900.0,5515900.0
2024-01-01,15,20,1044100.0,516100.0,322100.0,282500.0,1044100.0,987900.0,814300.0,316000.0,528000.0,241100.0,215700.0,2902500.0
2024-01-01,16,40,3079100.0,1501100.0,1060600.0,861400.0,3079100.0,3149500.0,1924200.0,1019800.0,1578000.0,830100.0,677700.0,7664700.0
2024-01-01,17,50,497800.0,252600.0,179300.0,147400.0,497800.0,525900.0,360000.0,147700.0,245200.0,130500.0,106100.0,1209800.0
2024-01-01,18,70,327100.0,179200.0,105100.0,82500.0,327100.0,345500.0,248300.0,95300.0,147900.0,68400.0,63700.0,964800.0
2024-01-01,19,60,771500.0,427600.0,284100.0,210400.0,771500.0,739000.0,466700.0,186200.0,343900.0,179300.0,169400.0,1627300.0
2024-01-01,20,70,1539700.0,895200.0,553200.0,401900.0,1539700.0,1580100.0,1198700.0,625800.0,644500.0,375600.0,320700.0,3584800.0
2024-01-01,21,80,132800.0,67300.0,38400.0,27800.0,132800.0,132100.0,93800.0,43300.0,65500.0,32600.0,22100.0,353800.0
2024-01-01,22,70,439400.0,253500.0,176600.0,137900.0,439400.0,454900.0,337400.0,136800.0,185900.0,105300.0,106000.0,1036500.0
2024-01-01,23,80,923800.0,550900.0,334400.0,287800.0,923800.0,869600.0,582100.0,248300.0,372900.0,176400.0,213400.0,2422500.0
2024-01-01,24,60,4008300.0,2363500.0,1634600.0,1258800.0,4008300.0,4159700.0,3163400.0,1119500.0,1644800.0,957400.0,978800.0,10884400.0
2024-01-01,25,60,1745900.0,937200.0,667400.0,517500.0,1745900.0,1806400.0,1238200.0,582800.0,808700.0,390700.0,384000.0,4633200.0
2024-01-01,26,10,202500.0,102300.0,63300.0,46200.0,202500.0,201600.0,126700.0,60100.0,100200.0,45500.0,35100.0,576400.0
2024-01-01,27,10,941900.0,564900.0,355000.0,251700.0,941900.0,926000.0,605000.0,251300.0,377000.0,212700.0,190800.0,2946300.0
2024-01-01,28,70,2284400.0,1334400.0,903800.0,641100.0,2284400.0,2428900.0,1473100.0,535800.0,950000.0,563900.0,464200.0,4675100.0
2024-01-01,29,40,843100.0,480100.0,283500.0,222600.0,843100.0,797600.0,665700.0,294900.0,363000.0,177300.0,168500.0,2452400.0
2024-01-01,30,20,1259300.0,795600.0,441100.0,333500.0,1259300.0,1290600.0,996900.0,428000.0,463700.0,258400.0,242700.0,3823100.0
2024-01-01,31,40,239900.0,141000.0,94000.0,79400.0,239900.0,249800.0,171100.0,61300.0,98900.0,52400.0,62400.0,504600.0
2024-01-01,32,60,142200.0,78200.0,44400.0,38800.0,142200.0,144900.0,108900.0,53500.0,64000.0,33000.0,30800.0,490300.0
2024-01-01,33,50,3448200.0,1995600.0,1377700.0,1111300.0,3448200.0,3362400.0,2238200.0,1201700.0,1452600.0,714400.0,850200.0,10778100.0
2024-01-01,34,70,236000.0,103900.0,60400.0,44600.0,236000.0,245800.0,157700.0,83000.0,132100.0,73300.0,33300.0,475600.0
2024-01-01,35,40,202900.0,106400.0,68600.0,51000.0,202900.0,202200.0,150600.0,66200.0,96500.0,43700.0,38200.0,528900.0
2024-01-01,36,40,519100.0,299700.0,193000.0,147000.0,519100.0,555200.0,368600.0,154900.0,219400.0,113700.0,110300.0,1217700.0
2024-01-01,37,40,745100.0,366900.0,249300.0,182800.0,745100.0,715500.0,519200.0,257000.0,378200.0,225600.0,141200.0,1806500.0
2024-01-01,38,20,1307600.0,701700.0,422000.0,349200.0,1307600.0,1239200.0,796500.0,287500.0,605900.0,299200.0,284400.0,3866300.0
2024-01-01,39,80,972100.0,561400.0,353600.0,275600.0,972100.0,929100.0,593200.0,319300.0,410700.0,214200.0,221100.0,2528500.0
2024-01-01,40,20,206500.0,95800.0,68100.0,48700.0,206500.0,199200.0,146900.0,63600.0,110700.0,59700.0,38100.0,653300.0
2024-01-01,41,70,3441400.0,2093400.0,1360800.0,1057600.0,3441400.0,3474500.0,2106300.0,1141700.0,1348000.0,626700.0,842100.0,10111800.0
2024-01-01,42,50,299900.0,162200.0,91300.0,64000.0,299900.0,297800.0,215600.0,88000.0,137700.0,66700.0,50600.0,916000.0
2024-01-01,43,80,1007400.0,525900.0,359700.0,292300.0,1007400.0,1030100.0,792600.0,344800.0,481500.0,256000.0,229400.0,3387500.0
